name, docs, words, word_range, result
octavian, 32, 32, 1073741824, [0.015600204467773438, 0.0, 0.0]
tido, 32, 32, 1073741824, [0.015599966049194336, 0.0, 0.015599966049194336]
octavian, 32, 32, 268435456, [0.0, 0.0, 0.015599966049194336]
tido, 32, 32, 268435456, [0.0, 0.015599966049194336, 0.0]
octavian, 32, 32, 67108864, [0.0, 0.0, 0.0]
tido, 32, 32, 67108864, [0.015599966049194336, 0.0, 0.015600204467773438]
octavian, 32, 32, 16777216, [0.0, 0.0, 0.015599966049194336]
tido, 32, 32, 16777216, [0.0, 0.015599966049194336, 0.0]
octavian, 32, 32, 4194304, [0.0, 0.015599966049194336, 0.0]
tido, 32, 32, 4194304, [0.015599966049194336, 0.0, 0.0]
octavian, 32, 32, 1048576, [0.0, 0.0, 0.015601158142089844]
tido, 32, 32, 1048576, [0.0, 0.015599966049194336, 0.0]
octavian, 32, 64, 1073741824, [0.015599966049194336, 0.0, 0.015599966049194336]
tido, 32, 64, 1073741824, [0.015599966049194336, 0.015599966049194336, 0.015600204467773438]
octavian, 32, 64, 268435456, [0.0, 0.0, 0.015599966049194336]
tido, 32, 64, 268435456, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
octavian, 32, 64, 67108864, [0.0, 0.015599966049194336, 0.015600204467773438]
tido, 32, 64, 67108864, [0.015599966049194336, 0.0, 0.0]
octavian, 32, 64, 16777216, [0.0, 0.015599966049194336, 0.0]
tido, 32, 64, 16777216, [0.0, 0.0, 0.015600204467773438]
octavian, 32, 64, 4194304, [0.015599966049194336, 0.015599966049194336, 0.0]
tido, 32, 64, 4194304, [0.0, 0.015599966049194336, 0.015599966049194336]
octavian, 32, 64, 1048576, [0.015599966049194336, 0.015600204467773438, 0.0]
tido, 32, 64, 1048576, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
octavian, 32, 128, 1073741824, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
tido, 32, 128, 1073741824, [0.031200170516967773, 0.031200885772705078, 0.031200170516967773]
octavian, 32, 128, 268435456, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
tido, 32, 128, 268435456, [0.031199932098388672, 0.015600204467773438, 0.015599966049194336]
octavian, 32, 128, 67108864, [0.031199932098388672, 0.015599966049194336, 0.031200170516967773]
tido, 32, 128, 67108864, [0.015599966049194336, 0.015599966049194336, 0.031199932098388672]
octavian, 32, 128, 16777216, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
tido, 32, 128, 16777216, [0.031199932098388672, 0.031199932098388672, 0.031200170516967773]
octavian, 32, 128, 4194304, [0.015599966049194336, 0.031199932098388672, 0.015599966049194336]
tido, 32, 128, 4194304, [0.03120112419128418, 0.031199932098388672, 0.031199932098388672]
octavian, 32, 128, 1048576, [0.015599966049194336, 0.015600204467773438, 0.015599966049194336]
tido, 32, 128, 1048576, [0.031199932098388672, 0.015599966049194336, 0.015600204467773438]
octavian, 32, 256, 1073741824, [0.031199932098388672, 0.04679989814758301, 0.04680013656616211]
tido, 32, 256, 1073741824, [0.062399864196777344, 0.062400102615356445, 0.062400102615356445]
octavian, 32, 256, 268435456, [0.046800851821899414, 0.04680013656616211, 0.031199932098388672]
tido, 32, 256, 268435456, [0.04679989814758301, 0.04679989814758301, 0.04680013656616211]
octavian, 32, 256, 67108864, [0.04679989814758301, 0.04679989814758301, 0.04680013656616211]
tido, 32, 256, 67108864, [0.062399864196777344, 0.062400102615356445, 0.06240105628967285]
octavian, 32, 256, 16777216, [0.04679989814758301, 0.04680013656616211, 0.04679989814758301]
tido, 32, 256, 16777216, [0.062400102615356445, 0.062399864196777344, 0.062400102615356445]
octavian, 32, 256, 4194304, [0.04679989814758301, 0.04680013656616211, 0.04679989814758301]
tido, 32, 256, 4194304, [0.04679989814758301, 0.04679989814758301, 0.04680013656616211]
octavian, 32, 256, 1048576, [0.04679989814758301, 0.04680013656616211, 0.04679989814758301]
tido, 32, 256, 1048576, [0.062400102615356445, 0.062399864196777344, 0.062400102615356445]
octavian, 32, 512, 1073741824, [0.07800006866455078, 0.07800102233886719, 0.07800006866455078]
tido, 32, 512, 1073741824, [0.10920000076293945, 0.10920000076293945, 0.10920000076293945]
octavian, 32, 512, 268435456, [0.07800102233886719, 0.07800006866455078, 0.07800006866455078]
tido, 32, 512, 268435456, [0.12479996681213379, 0.10920000076293945, 0.10920095443725586]
octavian, 32, 512, 67108864, [0.07800006866455078, 0.09360003471374512, 0.09360003471374512]
tido, 32, 512, 67108864, [0.12479996681213379, 0.1248011589050293, 0.10920000076293945]
octavian, 32, 512, 16777216, [0.07800006866455078, 0.09360003471374512, 0.07799983024597168]
tido, 32, 512, 16777216, [0.12479996681213379, 0.1248009204864502, 0.10920000076293945]
octavian, 32, 512, 4194304, [0.07800006866455078, 0.07800006866455078, 0.07800006866455078]
tido, 32, 512, 4194304, [0.1248009204864502, 0.12479996681213379, 0.12479996681213379]
octavian, 32, 512, 1048576, [0.07800006866455078, 0.09359979629516602, 0.09360098838806152]
tido, 32, 512, 1048576, [0.14040017127990723, 0.14039993286132812, 0.14040017127990723]
octavian, 32, 1024, 1073741824, [0.18720102310180664, 0.1715998649597168, 0.18719983100891113]
tido, 32, 1024, 1073741824, [0.2651998996734619, 0.24960017204284668, 0.2652008533477783]
octavian, 32, 1024, 268435456, [0.1715998649597168, 0.1716010570526123, 0.1716001033782959]
tido, 32, 1024, 268435456, [0.265200138092041, 0.2651998996734619, 0.2651998996734619]
octavian, 32, 1024, 67108864, [0.18720006942749023, 0.18720006942749023, 0.18720102310180664]
tido, 32, 1024, 67108864, [0.24959993362426758, 0.23399996757507324, 0.23399996757507324]
octavian, 32, 1024, 16777216, [0.1715998649597168, 0.1716008186340332, 0.18719983100891113]
tido, 32, 1024, 16777216, [0.28080105781555176, 0.265200138092041, 0.2652010917663574]
octavian, 32, 1024, 4194304, [0.18719983100891113, 0.1715998649597168, 0.15600109100341797]
tido, 32, 1024, 4194304, [0.2964000701904297, 0.2964010238647461, 0.3119997978210449]
octavian, 32, 1024, 1048576, [0.1716008186340332, 0.1715998649597168, 0.1716001033782959]
tido, 32, 1024, 1048576, [0.40560102462768555, 0.40560102462768555, 0.40560102462768555]
octavian, 64, 32, 1073741824, [0.015599966049194336, 0.0, 0.015600204467773438]
tido, 64, 32, 1073741824, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
octavian, 64, 32, 268435456, [0.015599966049194336, 0.0, 0.015599966049194336]
tido, 64, 32, 268435456, [0.015599966049194336, 0.015600204467773438, 0.015599966049194336]
octavian, 64, 32, 67108864, [0.015599966049194336, 0.0, 0.0]
tido, 64, 32, 67108864, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
octavian, 64, 32, 16777216, [0.015600204467773438, 0.0, 0.0]
tido, 64, 32, 16777216, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
octavian, 64, 32, 4194304, [0.015599966049194336, 0.0, 0.0]
tido, 64, 32, 4194304, [0.015600204467773438, 0.015599966049194336, 0.015599966049194336]
octavian, 64, 32, 1048576, [0.015599966049194336, 0.015599966049194336, 0.0]
tido, 64, 32, 1048576, [0.015599966049194336, 0.015599966049194336, 0.015600204467773438]
octavian, 64, 64, 1073741824, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
tido, 64, 64, 1073741824, [0.03120112419128418, 0.031199932098388672, 0.031199932098388672]
octavian, 64, 64, 268435456, [0.015599966049194336, 0.031200170516967773, 0.015599966049194336]
tido, 64, 64, 268435456, [0.031199932098388672, 0.031199932098388672, 0.031200170516967773]
octavian, 64, 64, 67108864, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
tido, 64, 64, 67108864, [0.031199932098388672, 0.015600204467773438, 0.015599966049194336]
octavian, 64, 64, 16777216, [0.015599966049194336, 0.015599966049194336, 0.031200170516967773]
tido, 64, 64, 16777216, [0.015599966049194336, 0.015599966049194336, 0.015599966049194336]
octavian, 64, 64, 4194304, [0.031200170516967773, 0.015599966049194336, 0.015600919723510742]
tido, 64, 64, 4194304, [0.015599966049194336, 0.015600204467773438, 0.031199932098388672]
octavian, 64, 64, 1048576, [0.031199932098388672, 0.015599966049194336, 0.015599966049194336]
tido, 64, 64, 1048576, [0.015599966049194336, 0.031199932098388672, 0.031199932098388672]
octavian, 64, 128, 1073741824, [0.04680013656616211, 0.04679989814758301, 0.04680013656616211]
tido, 64, 128, 1073741824, [0.04679989814758301, 0.04680013656616211, 0.04679989814758301]
octavian, 64, 128, 268435456, [0.046801090240478516, 0.04679989814758301, 0.04680013656616211]
tido, 64, 128, 268435456, [0.04679989814758301, 0.04680013656616211, 0.04679989814758301]
octavian, 64, 128, 67108864, [0.04680013656616211, 0.04679989814758301, 0.04679989814758301]
tido, 64, 128, 67108864, [0.04680013656616211, 0.04679989814758301, 0.046800851821899414]
octavian, 64, 128, 16777216, [0.031200170516967773, 0.04679989814758301, 0.04680013656616211]
tido, 64, 128, 16777216, [0.062399864196777344, 0.062400102615356445, 0.062399864196777344]
octavian, 64, 128, 4194304, [0.04680013656616211, 0.04679989814758301, 0.04680013656616211]
tido, 64, 128, 4194304, [0.06240081787109375, 0.04680013656616211, 0.04679989814758301]
octavian, 64, 128, 1048576, [0.031200170516967773, 0.031199932098388672, 0.031200170516967773]
tido, 64, 128, 1048576, [0.04679989814758301, 0.04680013656616211, 0.04679989814758301]
octavian, 64, 256, 1073741824, [0.07800006866455078, 0.07800102233886719, 0.07800006866455078]
tido, 64, 256, 1073741824, [0.09360003471374512, 0.10920000076293945, 0.10920000076293945]
octavian, 64, 256, 268435456, [0.07800102233886719, 0.07800006866455078, 0.07800006866455078]
tido, 64, 256, 268435456, [0.10920000076293945, 0.09360003471374512, 0.10920000076293945]
octavian, 64, 256, 67108864, [0.07800102233886719, 0.09360003471374512, 0.07800006866455078]
tido, 64, 256, 67108864, [0.10920000076293945, 0.10920000076293945, 0.10920095443725586]
octavian, 64, 256, 16777216, [0.07799983024597168, 0.07800006866455078, 0.062400102615356445]
tido, 64, 256, 16777216, [0.10920000076293945, 0.10920000076293945, 0.10920000076293945]
octavian, 64, 256, 4194304, [0.07799983024597168, 0.07800006866455078, 0.07800006866455078]
tido, 64, 256, 4194304, [0.10920000076293945, 0.10920095443725586, 0.10920000076293945]
